,Entity,Code,Year,Political regime
739,Argentina,ARG,1968,0
740,Argentina,ARG,1969,0
741,Argentina,ARG,1970,0
742,Argentina,ARG,1971,0
743,Argentina,ARG,1972,0
744,Argentina,ARG,1973,1
745,Argentina,ARG,1974,2
746,Argentina,ARG,1975,2
747,Argentina,ARG,1976,0
748,Argentina,ARG,1977,0
749,Argentina,ARG,1978,0
750,Argentina,ARG,1979,0
751,Argentina,ARG,1980,0
752,Argentina,ARG,1981,0
753,Argentina,ARG,1982,0
754,Argentina,ARG,1983,1
755,Argentina,ARG,1984,2
756,Argentina,ARG,1985,2
757,Argentina,ARG,1986,2
758,Argentina,ARG,1987,2
759,Argentina,ARG,1988,2
760,Argentina,ARG,1989,2
835,Armenia,ARM,1961,0
836,Armenia,ARM,1962,0
837,Armenia,ARM,1963,0
838,Armenia,ARM,1964,0
839,Armenia,ARM,1965,0
840,Armenia,ARM,1966,0
841,Armenia,ARM,1967,0
842,Armenia,ARM,1968,0
843,Armenia,ARM,1969,0
844,Armenia,ARM,1970,0
845,Armenia,ARM,1971,0
846,Armenia,ARM,1972,0
847,Armenia,ARM,1973,0
848,Armenia,ARM,1974,0
849,Armenia,ARM,1975,0
850,Armenia,ARM,1976,0
851,Armenia,ARM,1977,0
852,Armenia,ARM,1978,0
853,Armenia,ARM,1979,0
854,Armenia,ARM,1980,0
855,Armenia,ARM,1981,0
856,Armenia,ARM,1982,0
857,Armenia,ARM,1983,0
858,Armenia,ARM,1984,0
859,Armenia,ARM,1985,0
860,Armenia,ARM,1986,0
861,Armenia,ARM,1987,0
862,Armenia,ARM,1988,0
863,Armenia,ARM,1989,0
1067,Australia,AUS,1961,3
1068,Australia,AUS,1962,3
1069,Australia,AUS,1963,3
1070,Australia,AUS,1964,3
1071,Australia,AUS,1965,3
1072,Australia,AUS,1966,3
1073,Australia,AUS,1967,3
1074,Australia,AUS,1968,3
1075,Australia,AUS,1969,3
1076,Australia,AUS,1970,3
1077,Australia,AUS,1971,3
1078,Australia,AUS,1972,3
1079,Australia,AUS,1973,3
1080,Australia,AUS,1974,3
1081,Australia,AUS,1975,3
1082,Australia,AUS,1976,3
1083,Australia,AUS,1977,3
1084,Australia,AUS,1978,3
1085,Australia,AUS,1979,3
1086,Australia,AUS,1980,3
1087,Australia,AUS,1981,3
1088,Australia,AUS,1982,3
1089,Australia,AUS,1983,3
1090,Australia,AUS,1984,3
1091,Australia,AUS,1985,3
1092,Australia,AUS,1986,3
1093,Australia,AUS,1987,3
1094,Australia,AUS,1988,3
1095,Australia,AUS,1989,3
1293,Austria,AUT,1961,3
1294,Austria,AUT,1962,3
1295,Austria,AUT,1963,3
1296,Austria,AUT,1964,3
1297,Austria,AUT,1965,3
1298,Austria,AUT,1966,3
1299,Austria,AUT,1967,3
1300,Austria,AUT,1968,3
1301,Austria,AUT,1969,3
1302,Austria,AUT,1970,3
1303,Austria,AUT,1971,3
1304,Austria,AUT,1972,3
1305,Austria,AUT,1973,3
1306,Austria,AUT,1974,3
1307,Austria,AUT,1975,3
1308,Austria,AUT,1976,3
1309,Austria,AUT,1977,3
1310,Austria,AUT,1978,3
1311,Austria,AUT,1979,3
1312,Austria,AUT,1980,3
1313,Austria,AUT,1981,3
1314,Austria,AUT,1982,3
1315,Austria,AUT,1983,3
1316,Austria,AUT,1984,3
1317,Austria,AUT,1985,3
1318,Austria,AUT,1986,3
1319,Austria,AUT,1987,3
1320,Austria,AUT,1988,3
1321,Austria,AUT,1989,3
1501,Azerbaijan,AZE,1961,0
1502,Azerbaijan,AZE,1962,0
1503,Azerbaijan,AZE,1963,0
1504,Azerbaijan,AZE,1964,0
1505,Azerbaijan,AZE,1965,0
1506,Azerbaijan,AZE,1966,0
1507,Azerbaijan,AZE,1967,0
1508,Azerbaijan,AZE,1968,0
1509,Azerbaijan,AZE,1969,0
1510,Azerbaijan,AZE,1970,0
1511,Azerbaijan,AZE,1971,0
1512,Azerbaijan,AZE,1972,0
1513,Azerbaijan,AZE,1973,0
1514,Azerbaijan,AZE,1974,0
1515,Azerbaijan,AZE,1975,0
1516,Azerbaijan,AZE,1976,0
1517,Azerbaijan,AZE,1977,0
1518,Azerbaijan,AZE,1978,0
1519,Azerbaijan,AZE,1979,0
1520,Azerbaijan,AZE,1980,0
1521,Azerbaijan,AZE,1981,0
1522,Azerbaijan,AZE,1982,0
1523,Azerbaijan,AZE,1983,0
1524,Azerbaijan,AZE,1984,0
1525,Azerbaijan,AZE,1985,0
1526,Azerbaijan,AZE,1986,0
1527,Azerbaijan,AZE,1987,0
1528,Azerbaijan,AZE,1988,0
1529,Azerbaijan,AZE,1989,0
1675,Bahrain,BHR,1961,0
1676,Bahrain,BHR,1962,0
1677,Bahrain,BHR,1963,0
1678,Bahrain,BHR,1964,0
1679,Bahrain,BHR,1965,0
1680,Bahrain,BHR,1966,0
1681,Bahrain,BHR,1967,0
1682,Bahrain,BHR,1968,0
1683,Bahrain,BHR,1969,0
1684,Bahrain,BHR,1970,0
1685,Bahrain,BHR,1971,0
1686,Bahrain,BHR,1972,0
1687,Bahrain,BHR,1973,0
1688,Bahrain,BHR,1974,0
1689,Bahrain,BHR,1975,0
1690,Bahrain,BHR,1976,0
1691,Bahrain,BHR,1977,0
1692,Bahrain,BHR,1978,0
1693,Bahrain,BHR,1979,0
1694,Bahrain,BHR,1980,0
1695,Bahrain,BHR,1981,0
1696,Bahrain,BHR,1982,0
1697,Bahrain,BHR,1983,0
1698,Bahrain,BHR,1984,0
1699,Bahrain,BHR,1985,0
1700,Bahrain,BHR,1986,0
1701,Bahrain,BHR,1987,0
1702,Bahrain,BHR,1988,0
1703,Bahrain,BHR,1989,0
1907,Bangladesh,BGD,1961,0
1908,Bangladesh,BGD,1962,0
1909,Bangladesh,BGD,1963,0
1910,Bangladesh,BGD,1964,0
1911,Bangladesh,BGD,1965,0
1912,Bangladesh,BGD,1966,0
1913,Bangladesh,BGD,1967,0
1914,Bangladesh,BGD,1968,0
1915,Bangladesh,BGD,1969,0
1916,Bangladesh,BGD,1970,0
1917,Bangladesh,BGD,1971,0
1918,Bangladesh,BGD,1972,0
1919,Bangladesh,BGD,1973,1
1920,Bangladesh,BGD,1974,1
1921,Bangladesh,BGD,1975,1
1922,Bangladesh,BGD,1976,0
1923,Bangladesh,BGD,1977,0
1924,Bangladesh,BGD,1978,1
1925,Bangladesh,BGD,1979,1
1926,Bangladesh,BGD,1980,1
1927,Bangladesh,BGD,1981,1
1928,Bangladesh,BGD,1982,0
1929,Bangladesh,BGD,1983,0
1930,Bangladesh,BGD,1984,0
1931,Bangladesh,BGD,1985,0
1932,Bangladesh,BGD,1986,1
1933,Bangladesh,BGD,1987,1
1934,Bangladesh,BGD,1988,1
1935,Bangladesh,BGD,1989,1
2028,Barbados,BRB,1961,2
2029,Barbados,BRB,1962,2
2030,Barbados,BRB,1963,2
2031,Barbados,BRB,1964,2
2032,Barbados,BRB,1965,2
2033,Barbados,BRB,1966,2
2034,Barbados,BRB,1967,2
2035,Barbados,BRB,1968,2
2036,Barbados,BRB,1969,2
2037,Barbados,BRB,1970,2
2038,Barbados,BRB,1971,2
2039,Barbados,BRB,1972,2
2040,Barbados,BRB,1973,2
2041,Barbados,BRB,1974,2
2042,Barbados,BRB,1975,2
2043,Barbados,BRB,1976,2
2044,Barbados,BRB,1977,2
2045,Barbados,BRB,1978,2
2046,Barbados,BRB,1979,2
2047,Barbados,BRB,1980,2
2048,Barbados,BRB,1981,2
2049,Barbados,BRB,1982,2
2050,Barbados,BRB,1983,2
2051,Barbados,BRB,1984,2
2052,Barbados,BRB,1985,2
2053,Barbados,BRB,1986,2
2054,Barbados,BRB,1987,2
2055,Barbados,BRB,1988,2
2056,Barbados,BRB,1989,2
2337,Belarus,BLR,1961,0
2338,Belarus,BLR,1962,0
2339,Belarus,BLR,1963,0
2340,Belarus,BLR,1964,0
2341,Belarus,BLR,1965,0
2342,Belarus,BLR,1966,0
2343,Belarus,BLR,1967,0
2344,Belarus,BLR,1968,0
2345,Belarus,BLR,1969,0
2346,Belarus,BLR,1970,0
2347,Belarus,BLR,1971,0
2348,Belarus,BLR,1972,0
2349,Belarus,BLR,1973,0
2350,Belarus,BLR,1974,0
2351,Belarus,BLR,1975,0
2352,Belarus,BLR,1976,0
2353,Belarus,BLR,1977,0
2354,Belarus,BLR,1978,0
2355,Belarus,BLR,1979,0
2356,Belarus,BLR,1980,0
2357,Belarus,BLR,1981,0
2358,Belarus,BLR,1982,0
2359,Belarus,BLR,1983,0
2360,Belarus,BLR,1984,0
2361,Belarus,BLR,1985,0
2362,Belarus,BLR,1986,0
2363,Belarus,BLR,1987,0
2364,Belarus,BLR,1988,0
2365,Belarus,BLR,1989,0
2569,Belgium,BEL,1961,3
2570,Belgium,BEL,1962,3
2571,Belgium,BEL,1963,3
2572,Belgium,BEL,1964,3
2573,Belgium,BEL,1965,3
2574,Belgium,BEL,1966,3
2575,Belgium,BEL,1967,3
2576,Belgium,BEL,1968,3
2577,Belgium,BEL,1969,3
2578,Belgium,BEL,1970,3
2579,Belgium,BEL,1971,3
2580,Belgium,BEL,1972,3
2581,Belgium,BEL,1973,3
2582,Belgium,BEL,1974,3
2583,Belgium,BEL,1975,3
2584,Belgium,BEL,1976,3
2585,Belgium,BEL,1977,3
2586,Belgium,BEL,1978,3
2587,Belgium,BEL,1979,3
2588,Belgium,BEL,1980,3
2589,Belgium,BEL,1981,3
2590,Belgium,BEL,1982,3
2591,Belgium,BEL,1983,3
2592,Belgium,BEL,1984,3
2593,Belgium,BEL,1985,3
2594,Belgium,BEL,1986,3
2595,Belgium,BEL,1987,3
2596,Belgium,BEL,1988,3
2597,Belgium,BEL,1989,3
2690,Benin,BEN,1961,1
2691,Benin,BEN,1962,1
2692,Benin,BEN,1963,1
2693,Benin,BEN,1964,1
2694,Benin,BEN,1965,0
2695,Benin,BEN,1966,0
2696,Benin,BEN,1967,0
2697,Benin,BEN,1968,1
2698,Benin,BEN,1969,0
2699,Benin,BEN,1970,0
2700,Benin,BEN,1971,0
2701,Benin,BEN,1972,0
2702,Benin,BEN,1973,0
2703,Benin,BEN,1974,0
2704,Benin,BEN,1975,0
2705,Benin,BEN,1976,0
2706,Benin,BEN,1977,0
2707,Benin,BEN,1978,0
2708,Benin,BEN,1979,0
2709,Benin,BEN,1980,0
2710,Benin,BEN,1981,0
2711,Benin,BEN,1982,0
2712,Benin,BEN,1983,0
2713,Benin,BEN,1984,0
2714,Benin,BEN,1985,0
2715,Benin,BEN,1986,0
2716,Benin,BEN,1987,0
2717,Benin,BEN,1988,0
2718,Benin,BEN,1989,0
2811,Bhutan,BTN,1961,0
2812,Bhutan,BTN,1962,0
2813,Bhutan,BTN,1963,0
2814,Bhutan,BTN,1964,0
2815,Bhutan,BTN,1965,0
2816,Bhutan,BTN,1966,0
2817,Bhutan,BTN,1967,0
2818,Bhutan,BTN,1968,0
2819,Bhutan,BTN,1969,0
2820,Bhutan,BTN,1970,0
2821,Bhutan,BTN,1971,0
2822,Bhutan,BTN,1972,0
2823,Bhutan,BTN,1973,0
2824,Bhutan,BTN,1974,0
2825,Bhutan,BTN,1975,0
2826,Bhutan,BTN,1976,0
2827,Bhutan,BTN,1977,0
2828,Bhutan,BTN,1978,0
2829,Bhutan,BTN,1979,0
2830,Bhutan,BTN,1980,0
2831,Bhutan,BTN,1981,0
2832,Bhutan,BTN,1982,0
2833,Bhutan,BTN,1983,0
2834,Bhutan,BTN,1984,0
2835,Bhutan,BTN,1985,0
2836,Bhutan,BTN,1986,0
2837,Bhutan,BTN,1987,0
2838,Bhutan,BTN,1988,0
2839,Bhutan,BTN,1989,0
3007,Bolivia,BOL,1961,1
3008,Bolivia,BOL,1962,1
3009,Bolivia,BOL,1963,1
3010,Bolivia,BOL,1964,1
3011,Bolivia,BOL,1965,0
3012,Bolivia,BOL,1966,1
3013,Bolivia,BOL,1967,1
3014,Bolivia,BOL,1968,1
3015,Bolivia,BOL,1969,1
3016,Bolivia,BOL,1970,0
3017,Bolivia,BOL,1971,0
3018,Bolivia,BOL,1972,0
3019,Bolivia,BOL,1973,0
3020,Bolivia,BOL,1974,0
3021,Bolivia,BOL,1975,0
3022,Bolivia,BOL,1976,0
3023,Bolivia,BOL,1977,0
3024,Bolivia,BOL,1978,0
3025,Bolivia,BOL,1979,1
3026,Bolivia,BOL,1980,0
3027,Bolivia,BOL,1981,0
3028,Bolivia,BOL,1982,0
3029,Bolivia,BOL,1983,0
3030,Bolivia,BOL,1984,0
3031,Bolivia,BOL,1985,1
3032,Bolivia,BOL,1986,2
3033,Bolivia,BOL,1987,2
3034,Bolivia,BOL,1988,2
3035,Bolivia,BOL,1989,2
3196,Bosnia and Herzegovina,BIH,1961,0
3197,Bosnia and Herzegovina,BIH,1962,0
3198,Bosnia and Herzegovina,BIH,1963,0
3199,Bosnia and Herzegovina,BIH,1964,0
3200,Bosnia and Herzegovina,BIH,1965,0
3201,Bosnia and Herzegovina,BIH,1966,0
3202,Bosnia and Herzegovina,BIH,1967,0
3203,Bosnia and Herzegovina,BIH,1968,0
3204,Bosnia and Herzegovina,BIH,1969,0
3205,Bosnia and Herzegovina,BIH,1970,0
3206,Bosnia and Herzegovina,BIH,1971,0
3207,Bosnia and Herzegovina,BIH,1972,0
3208,Bosnia and Herzegovina,BIH,1973,0
3209,Bosnia and Herzegovina,BIH,1974,0
3210,Bosnia and Herzegovina,BIH,1975,0
3211,Bosnia and Herzegovina,BIH,1976,0
3212,Bosnia and Herzegovina,BIH,1977,0
3213,Bosnia and Herzegovina,BIH,1978,0
3214,Bosnia and Herzegovina,BIH,1979,0
3215,Bosnia and Herzegovina,BIH,1980,0
3216,Bosnia and Herzegovina,BIH,1981,0
3217,Bosnia and Herzegovina,BIH,1982,0
3218,Bosnia and Herzegovina,BIH,1983,0
3219,Bosnia and Herzegovina,BIH,1984,0
3220,Bosnia and Herzegovina,BIH,1985,0
3221,Bosnia and Herzegovina,BIH,1986,0
3222,Bosnia and Herzegovina,BIH,1987,0
3223,Bosnia and Herzegovina,BIH,1988,0
3224,Bosnia and Herzegovina,BIH,1989,0
3317,Botswana,BWA,1961,0
3318,Botswana,BWA,1962,0
3319,Botswana,BWA,1963,0
3320,Botswana,BWA,1964,0
3321,Botswana,BWA,1965,1
3322,Botswana,BWA,1966,1
3323,Botswana,BWA,1967,2
3324,Botswana,BWA,1968,2
3325,Botswana,BWA,1969,2
3326,Botswana,BWA,1970,2
3327,Botswana,BWA,1971,2
3328,Botswana,BWA,1972,2
3329,Botswana,BWA,1973,2
3330,Botswana,BWA,1974,2
3331,Botswana,BWA,1975,2
3332,Botswana,BWA,1976,2
3333,Botswana,BWA,1977,2
3334,Botswana,BWA,1978,2
3335,Botswana,BWA,1979,2
3336,Botswana,BWA,1980,2
3337,Botswana,BWA,1981,2
3338,Botswana,BWA,1982,2
3339,Botswana,BWA,1983,2
3340,Botswana,BWA,1984,2
3341,Botswana,BWA,1985,2
3342,Botswana,BWA,1986,2
3343,Botswana,BWA,1987,2
3344,Botswana,BWA,1988,2
3345,Botswana,BWA,1989,2
3547,Brazil,BRA,1961,1
3548,Brazil,BRA,1962,1
3549,Brazil,BRA,1963,1
3550,Brazil,BRA,1964,1
3551,Brazil,BRA,1965,1
3552,Brazil,BRA,1966,1
3553,Brazil,BRA,1967,1
3554,Brazil,BRA,1968,1
3555,Brazil,BRA,1969,1
3556,Brazil,BRA,1970,1
3557,Brazil,BRA,1971,1
3558,Brazil,BRA,1972,1
3559,Brazil,BRA,1973,1
3560,Brazil,BRA,1974,1
3561,Brazil,BRA,1975,1
3562,Brazil,BRA,1976,1
3563,Brazil,BRA,1977,1
3564,Brazil,BRA,1978,1
3565,Brazil,BRA,1979,1
3566,Brazil,BRA,1980,1
3567,Brazil,BRA,1981,1
3568,Brazil,BRA,1982,1
3569,Brazil,BRA,1983,1
3570,Brazil,BRA,1984,1
3571,Brazil,BRA,1985,1
3572,Brazil,BRA,1986,1
3573,Brazil,BRA,1987,2
3574,Brazil,BRA,1988,2
3575,Brazil,BRA,1989,2
3815,Bulgaria,BGR,1961,0
3816,Bulgaria,BGR,1962,0
3817,Bulgaria,BGR,1963,0
3818,Bulgaria,BGR,1964,0
3819,Bulgaria,BGR,1965,0
3820,Bulgaria,BGR,1966,0
3821,Bulgaria,BGR,1967,0
3822,Bulgaria,BGR,1968,0
3823,Bulgaria,BGR,1969,0
3824,Bulgaria,BGR,1970,0
3825,Bulgaria,BGR,1971,0
3826,Bulgaria,BGR,1972,0
3827,Bulgaria,BGR,1973,0
3828,Bulgaria,BGR,1974,0
3829,Bulgaria,BGR,1975,0
3830,Bulgaria,BGR,1976,0
3831,Bulgaria,BGR,1977,0
3832,Bulgaria,BGR,1978,0
3833,Bulgaria,BGR,1979,0
3834,Bulgaria,BGR,1980,0
3835,Bulgaria,BGR,1981,0
3836,Bulgaria,BGR,1982,0
3837,Bulgaria,BGR,1983,0
3838,Bulgaria,BGR,1984,0
3839,Bulgaria,BGR,1985,0
3840,Bulgaria,BGR,1986,0
3841,Bulgaria,BGR,1987,0
3842,Bulgaria,BGR,1988,0
3843,Bulgaria,BGR,1989,0
3902,Burkina Faso,BFA,1961,1
3903,Burkina Faso,BFA,1962,1
3904,Burkina Faso,BFA,1963,1
3905,Burkina Faso,BFA,1964,1
3906,Burkina Faso,BFA,1965,1
3907,Burkina Faso,BFA,1966,0
3908,Burkina Faso,BFA,1967,0
3909,Burkina Faso,BFA,1968,0
3910,Burkina Faso,BFA,1969,0
3911,Burkina Faso,BFA,1970,0
3912,Burkina Faso,BFA,1971,0
3913,Burkina Faso,BFA,1972,0
3914,Burkina Faso,BFA,1973,0
3915,Burkina Faso,BFA,1974,0
3916,Burkina Faso,BFA,1975,0
3917,Burkina Faso,BFA,1976,0
3918,Burkina Faso,BFA,1977,0
3919,Burkina Faso,BFA,1978,0
3920,Burkina Faso,BFA,1979,1
3921,Burkina Faso,BFA,1980,0
3922,Burkina Faso,BFA,1981,0
3923,Burkina Faso,BFA,1982,0
3924,Burkina Faso,BFA,1983,0
3925,Burkina Faso,BFA,1984,0
3926,Burkina Faso,BFA,1985,0
3927,Burkina Faso,BFA,1986,0
3928,Burkina Faso,BFA,1987,0
3929,Burkina Faso,BFA,1988,0
3930,Burkina Faso,BFA,1989,0
4007,Burundi,BDI,1961,0
4008,Burundi,BDI,1962,0
4009,Burundi,BDI,1963,0
4010,Burundi,BDI,1964,0
4011,Burundi,BDI,1965,0
4012,Burundi,BDI,1966,0
4013,Burundi,BDI,1967,0
4014,Burundi,BDI,1968,0
4015,Burundi,BDI,1969,0
4016,Burundi,BDI,1970,0
4017,Burundi,BDI,1971,0
4018,Burundi,BDI,1972,0
4019,Burundi,BDI,1973,0
4020,Burundi,BDI,1974,0
4021,Burundi,BDI,1975,0
4022,Burundi,BDI,1976,0
4023,Burundi,BDI,1977,0
4024,Burundi,BDI,1978,0
4025,Burundi,BDI,1979,0
4026,Burundi,BDI,1980,0
4027,Burundi,BDI,1981,0
4028,Burundi,BDI,1982,0
4029,Burundi,BDI,1983,0
4030,Burundi,BDI,1984,1
4031,Burundi,BDI,1985,1
4032,Burundi,BDI,1986,1
4033,Burundi,BDI,1987,0
4034,Burundi,BDI,1988,0
4035,Burundi,BDI,1989,0
4128,Cambodia,KHM,1961,1
4129,Cambodia,KHM,1962,1
4130,Cambodia,KHM,1963,1
4131,Cambodia,KHM,1964,1
4132,Cambodia,KHM,1965,1
4133,Cambodia,KHM,1966,1
4134,Cambodia,KHM,1967,1
4135,Cambodia,KHM,1968,1
4136,Cambodia,KHM,1969,1
4137,Cambodia,KHM,1970,1
4138,Cambodia,KHM,1971,0
4139,Cambodia,KHM,1972,1
4140,Cambodia,KHM,1973,1
4141,Cambodia,KHM,1974,1
4142,Cambodia,KHM,1975,0
4143,Cambodia,KHM,1976,0
4144,Cambodia,KHM,1977,0
4145,Cambodia,KHM,1978,0
4146,Cambodia,KHM,1979,0
4147,Cambodia,KHM,1980,0
4148,Cambodia,KHM,1981,1
4149,Cambodia,KHM,1982,1
4150,Cambodia,KHM,1983,1
4151,Cambodia,KHM,1984,1
4152,Cambodia,KHM,1985,1
4153,Cambodia,KHM,1986,1
4154,Cambodia,KHM,1987,1
4155,Cambodia,KHM,1988,1
4156,Cambodia,KHM,1989,1
4188,Cameroon,CMR,1961,1
4189,Cameroon,CMR,1962,1
4190,Cameroon,CMR,1963,1
4191,Cameroon,CMR,1964,1
4192,Cameroon,CMR,1965,1
4193,Cameroon,CMR,1966,1
4194,Cameroon,CMR,1967,1
4195,Cameroon,CMR,1968,1
4196,Cameroon,CMR,1969,1
4197,Cameroon,CMR,1970,1
4198,Cameroon,CMR,1971,1
4199,Cameroon,CMR,1972,1
4200,Cameroon,CMR,1973,1
4201,Cameroon,CMR,1974,1
4202,Cameroon,CMR,1975,1
4203,Cameroon,CMR,1976,1
4204,Cameroon,CMR,1977,1
4205,Cameroon,CMR,1978,1
4206,Cameroon,CMR,1979,1
4207,Cameroon,CMR,1980,1
4208,Cameroon,CMR,1981,1
4209,Cameroon,CMR,1982,1
4210,Cameroon,CMR,1983,1
4211,Cameroon,CMR,1984,1
4212,Cameroon,CMR,1985,1
4213,Cameroon,CMR,1986,1
4214,Cameroon,CMR,1987,1
4215,Cameroon,CMR,1988,1
4216,Cameroon,CMR,1989,1
4368,Canada,CAN,1961,2
4369,Canada,CAN,1962,2
4370,Canada,CAN,1963,2
4371,Canada,CAN,1964,2
4372,Canada,CAN,1965,2
4373,Canada,CAN,1966,2
4374,Canada,CAN,1967,2
4375,Canada,CAN,1968,2
4376,Canada,CAN,1969,2
4377,Canada,CAN,1970,2
4378,Canada,CAN,1971,2
4379,Canada,CAN,1972,2
4380,Canada,CAN,1973,2
4381,Canada,CAN,1974,2
4382,Canada,CAN,1975,2
4383,Canada,CAN,1976,3
4384,Canada,CAN,1977,3
4385,Canada,CAN,1978,3
4386,Canada,CAN,1979,3
4387,Canada,CAN,1980,3
4388,Canada,CAN,1981,3
4389,Canada,CAN,1982,3
4390,Canada,CAN,1983,3
4391,Canada,CAN,1984,3
4392,Canada,CAN,1985,3
4393,Canada,CAN,1986,3
4394,Canada,CAN,1987,3
4395,Canada,CAN,1988,3
4396,Canada,CAN,1989,3
4489,Cape Verde,CPV,1961,0
4490,Cape Verde,CPV,1962,0
4491,Cape Verde,CPV,1963,0
4492,Cape Verde,CPV,1964,0
4493,Cape Verde,CPV,1965,0
4494,Cape Verde,CPV,1966,0
4495,Cape Verde,CPV,1967,0
4496,Cape Verde,CPV,1968,0
4497,Cape Verde,CPV,1969,0
4498,Cape Verde,CPV,1970,0
4499,Cape Verde,CPV,1971,0
4500,Cape Verde,CPV,1972,0
4501,Cape Verde,CPV,1973,0
4502,Cape Verde,CPV,1974,0
4503,Cape Verde,CPV,1975,1
4504,Cape Verde,CPV,1976,0
4505,Cape Verde,CPV,1977,0
4506,Cape Verde,CPV,1978,0
4507,Cape Verde,CPV,1979,0
4508,Cape Verde,CPV,1980,1
4509,Cape Verde,CPV,1981,1
4510,Cape Verde,CPV,1982,1
4511,Cape Verde,CPV,1983,1
4512,Cape Verde,CPV,1984,1
4513,Cape Verde,CPV,1985,1
4514,Cape Verde,CPV,1986,1
4515,Cape Verde,CPV,1987,1
4516,Cape Verde,CPV,1988,1
4517,Cape Verde,CPV,1989,1
4590,Central African Republic,CAF,1961,1
4591,Central African Republic,CAF,1962,1
4592,Central African Republic,CAF,1963,1
4593,Central African Republic,CAF,1964,0
4594,Central African Republic,CAF,1965,0
4595,Central African Republic,CAF,1966,0
4596,Central African Republic,CAF,1967,0
4597,Central African Republic,CAF,1968,0
4598,Central African Republic,CAF,1969,0
4599,Central African Republic,CAF,1970,0
4600,Central African Republic,CAF,1971,0
